"Code","Name","Region","County"
1,"AITKIN COUNTY","Northland","Aitkin"
2,"ANOKA COUNTY","Twin Cities","Anoka"
3,"BECKER COUNTY","West Central","Becker"
4,"BELTRAMI COUNTY","Northwest","Beltrami"
5,"BENTON COUNTY","Central","Benton"
6,"BIG STONE COUNTY","Southwest","Big Stone"
7,"BLUE EARTH COUNTY","Southern","Blue Earth"
8,"BROWN COUNTY","Southern","Brown"
9,"CARLTON COUNTY","Northland","Carlton"
10,"CARVER COUNTY","Twin Cities","Carver"
11,"CASS COUNTY","Central","Cass"
12,"CHIPPEWA COUNTY","Southwest","Chippewa"
13,"CHISAGO COUNTY","Central","Chisago"
14,"CLAY COUNTY","West Central","Clay"
15,"CLEARWATER COUNTY","Northwest","Clearwater"
16,"COOK COUNTY","Northland","Cook"
17,"COTTONWOOD COUNTY","Southwest","Cottonwood"
18,"CROW WING COUNTY","Central","Crow Wing"
19,"DAKOTA COUNTY","Twin Cities","Dakota"
20,"DODGE COUNTY","Southern","Dodge"
21,"DOUGLAS COUNTY","West Central","Douglas"
22,"FARIBAULT COUNTY","Southern","Faribault"
23,"FILLMORE COUNTY","Southern","Fillmore"
24,"FREEBORN COUNTY","Southern","Freeborn"
25,"GOODHUE COUNTY","Southern","Goodhue"
26,"GRANT COUNTY","West Central","Grant"
27,"HENNEPIN COUNTY","Twin Cities","Hennepin"
28,"HOUSTON COUNTY","Southern","Houston"
29,"HUBBARD COUNTY","Northwest","Hubbard"
30,"ISANTI COUNTY","Central","Isanti"
31,"ITASCA COUNTY","Northland","Itasca"
32,"JACKSON COUNTY","Southwest","Jackson"
33,"KANABEC COUNTY","Central","Kanabec"
34,"KANDIYOHI COUNTY","Southwest","Kandiyohi"
35,"KITTSON COUNTY","Northwest","Kittson"
36,"KOOCHICHING COUNTY","Northland","Koochiching"
37,"LAC QUI PARLE COUNTY","Southwest","Lac Qui Parle"
38,"LAKE COUNTY","Northland","Lake"
39,"LAKE OF THE WOODS COUNTY","Northwest","Lake Of The Woods"
40,"LESUEUR COUNTY","Southern","Lesueur"
41,"LINCOLN COUNTY","Southwest","Lincoln"
42,"LYON COUNTY","Southwest","Lyon"
43,"MCLEOD COUNTY","Southwest","Mcleod"
44,"MAHNOMEN COUNTY","Northwest","Mahnomen"
45,"MARSHALL COUNTY","Northwest","Marshall"
46,"MARTIN COUNTY","Southern","Martin"
47,"MEEKER COUNTY","Southwest","Meeker"
48,"MILLE LACS COUNTY","Central","Mille Lacs"
49,"MORRISON COUNTY","Central","Morrison"
50,"MOWER COUNTY","Southern","Mower"
51,"MURRAY COUNTY","Southwest","Murray"
52,"NICOLLET COUNTY","Southern","Nicollet"
53,"NOBLES COUNTY","Southwest","Nobles"
54,"NORMAN COUNTY","Northwest","Norman"
55,"OLMSTED COUNTY","Southern","Olmsted"
56,"OTTER TAIL COUNTY","West Central","Otter Tail"
57,"PENNINGTON COUNTY","Northwest","Pennington"
58,"PINE COUNTY","Central","Pine"
59,"PIPESTONE COUNTY","Southwest","Pipestone"
60,"POLK COUNTY","Northwest","Polk"
61,"POPE COUNTY","West Central","Pope"
62,"RAMSEY COUNTY","Twin Cities","Ramsey"
63,"RED LAKE COUNTY","Northwest","Red Lake"
64,"REDWOOD COUNTY","Southwest","Redwood"
65,"RENVILLE COUNTY","Southwest","Renville"
66,"RICE COUNTY","Southern","Rice"
67,"ROCK COUNTY","Southwest","Rock"
68,"ROSEAU COUNTY","Northwest","Roseau"
69,"ST. LOUIS COUNTY","Northland","St. Louis"
70,"SCOTT COUNTY","Twin Cities","Scott"
71,"SHERBURNE COUNTY","Central","Sherburne"
72,"SIBLEY COUNTY","Southern","Sibley"
73,"STEARNS COUNTY","Central","Stearns"
74,"STEELE COUNTY","Southern","Steele"
75,"STEVENS COUNTY","West Central","Stevens"
76,"SWIFT COUNTY","Southwest","Swift"
77,"TODD COUNTY","Central","Todd"
78,"TRAVERSE COUNTY","West Central","Traverse"
79,"WABASHA COUNTY","Southern","Wabasha"
80,"WADENA COUNTY","Central","Wadena"
81,"WASECA COUNTY","Southern","Waseca"
82,"WASHINGTON COUNTY","Twin Cities","Washington"
83,"WATONWAN COUNTY","Southern","Watonwan"
84,"WILKIN COUNTY","West Central","Wilkin"
85,"WINONA COUNTY","Southern","Winona"
86,"WRIGHT COUNTY","Central","Wright"
87,"YELLOW MEDICINE COUNTY","Southwest","Yellow Medicine"
9999,"ELSE","Unknown","Else"
